CD_UOR;CD_PRF;NM_UOR_RED;CD_SBDD;CD_MUN;SG_UF;CD_UOR_JRDT
d81d658f7fb3fca03ea5e74f787f1f51;4aecfbe5d21e3f7912bf8eb29124423a;fc63d80379864b0200896bcfe216bafd;91;48680;PR;d9cf935700ac7b03669f834bfb06aba5
f6e25176c96f7d7c8c7d74ff8babee5d;cd3afef9b8b89558cd56638c3631868a;c5a682e2d533265b0fdb5278ab0c2c60;0;48830;CE;d9cf935700ac7b03669f834bfb06aba5
445b6949ed8860ca6175e8c89464ba85;cd3afef9b8b89558cd56638c3631868a;9f700857db47ed626ee3fb58dfbe1cef;91;48830;CE;d9cf935700ac7b03669f834bfb06aba5
568221292bd68ebdd821521ce60a8110;db116b39f7a3ac5366079b1d9fe249a5;05e84206681022cad7268ef69b0b8b9a;0;48845;PR;d9cf935700ac7b03669f834bfb06aba5
d7012f5714b8a6a970f5bd34806267c6;db116b39f7a3ac5366079b1d9fe249a5;37c2c741ae0760bfced362eed8a417b8;91;48845;PR;d9cf935700ac7b03669f834bfb06aba5
975a1c8b9aee1c48d32e13ec30be7905;1368ba1ab6ed38bb1f26f36673739d54;88b0d90fa89c9c366b170fd1995537c1;0;48940;RN;d9cf935700ac7b03669f834bfb06aba5
0e105949d99a32ca1751703e94ece601;1368ba1ab6ed38bb1f26f36673739d54;952036f31eae838cb0d9320deaf676d8;91;48940;RN;d9cf935700ac7b03669f834bfb06aba5
480eb54452f63abfa7f2eb0ffb1c62fe;3323fe11e9595c09af38fe67567a9394;a1f2e36ca01022f11f5d8bf0ae44dd03;0;48970;SP;d9cf935700ac7b03669f834bfb06aba5
ea3ed20b6b101a09085ef09c97da1597;3323fe11e9595c09af38fe67567a9394;bcc1f269b8e472acdd32b958ec715342;91;48970;SP;d9cf935700ac7b03669f834bfb06aba5
ee89223a2b625b5152132ed77abbcc79;05a70454516ecd9194c293b0e415777f;f4f8247a30b826218961d3a321959cde;0;49060;PR;d9cf935700ac7b03669f834bfb06aba5
0c3dd1f58f7ef11b0eb09971760dfdbd;05a70454516ecd9194c293b0e415777f;bb9e44c8ae65c4af64b45d4724b2f4c5;91;49060;PR;d9cf935700ac7b03669f834bfb06aba5
2c75cf2681788adaca63aa95ae028b22;f3d9de86462c28781cbe5c47ef22c3e5;f164eed3feebefc27f93829cedc3ade3;0;49165;MT;d9cf935700ac7b03669f834bfb06aba5
411c451fa50ccb4a60206a83c8d5d8a4;02e656adee09f8394b402d9958389b7d;3452734465380ee82297637f9bbd3a01;0;49190;MG;d9cf935700ac7b03669f834bfb06aba5
b4572f47b7c69e27b8e46646d9579e67;02e656adee09f8394b402d9958389b7d;19ae337eedbbc5ea5f49e706d3938173;91;49190;MG;d9cf935700ac7b03669f834bfb06aba5
87373df3f89fa9932a9c6c58cc75e309;5938b4d054136e5d59ada6ec9c295d7a;3602969d81f92112b234aa23e4b3f9ae;0;49380;BA;d9cf935700ac7b03669f834bfb06aba5
c291b01517f3e6797c774c306591cc32;5938b4d054136e5d59ada6ec9c295d7a;a642cbe6042e703c71cfd362e1ad6bd4;91;49380;BA;d9cf935700ac7b03669f834bfb06aba5
60e4ac6a656ef4b4fd82aaaf25f14736;b5c01503041b70d41d80e3dbe31bbd8c;8f285b7c2ae5993d07ecc46edebd068b;0;49440;MG;d9cf935700ac7b03669f834bfb06aba5
6f04f0d75f6870858bae14ac0b6d9f73;b5c01503041b70d41d80e3dbe31bbd8c;d7a584a8480c467c240d11bcd1900fe9;91;49440;MG;d9cf935700ac7b03669f834bfb06aba5
32e19424b63cc63077a4031b87fb1010;b0df2270be9cb16c14537e5bc2f2d37b;92c88f6b638609a9fc93dd4951a40c92;0;49520;SP;d9cf935700ac7b03669f834bfb06aba5
5ddfed3d0746748d8c4add3547a80ac5;b0df2270be9cb16c14537e5bc2f2d37b;81802da2b6924b31b7e6666b2aa9091a;91;49520;SP;d9cf935700ac7b03669f834bfb06aba5
4ae61b10179243bbbd49128329ddc145;13111c20aee51aeb480ecbd988cd8cc9;2256ae990e61d99187c544163f397c5b;0;49540;PE;d9cf935700ac7b03669f834bfb06aba5
178930ab96f41d43179e4d2d1a3a16e7;13111c20aee51aeb480ecbd988cd8cc9;cbedaef7f6fb58b06c5b3e6c661b3865;91;49540;PE;d9cf935700ac7b03669f834bfb06aba5
dc2ff5f1be7effb525b145bed225e336;d2a27e83d429f0dcae6b937cf440aeb1;00f057e6248988ed94d445a2e0ef87ef;0;49610;MG;d9cf935700ac7b03669f834bfb06aba5
559b4c29ff85968364f90141f46616b9;d2a27e83d429f0dcae6b937cf440aeb1;524d6509f3a40fbaa8c2775c669d5a60;2;49610;MG;d9cf935700ac7b03669f834bfb06aba5
cea3fc0955025479d7427ce6d368892a;d2a27e83d429f0dcae6b937cf440aeb1;848851da08d20f9165368a27a29bb236;91;49610;MG;d9cf935700ac7b03669f834bfb06aba5
24bcb4d0caa4120575bb45c8a156b651;598920e11d1eb2a49501d59fce5ecbb7;509463d2c63008c4d76a9413dd3961a2;0;49760;PR;d9cf935700ac7b03669f834bfb06aba5
6696f5e016581a2b2827e18e5cbea95c;598920e11d1eb2a49501d59fce5ecbb7;11c9af5e55419b7284c9962c12bd94fb;91;49760;PR;d9cf935700ac7b03669f834bfb06aba5
178fde6398864e33aaefae5d2d855f20;934b535800b1cba8f96a5d72f72f1611;92e0f3e3c33a99ad61bc8c5a6231822f;0;49920;PI;d9cf935700ac7b03669f834bfb06aba5
a56fd138b4e913761cd5a28a8ad30174;934b535800b1cba8f96a5d72f72f1611;aeef1e4e4178dadf4018295391c8b781;91;49920;PI;d9cf935700ac7b03669f834bfb06aba5
a0d448ac4426dc3bdd609ed804e7af1a;04048aeca2c0f5d84639358008ed2ae7;79c1d23a3c0093dc964a8e61f546b70c;0;28422;RO;d9cf935700ac7b03669f834bfb06aba5
753a043674f0193523abc1bbce678686;04048aeca2c0f5d84639358008ed2ae7;890834a7f86ba1e7f6240882868aa120;91;28422;RO;d9cf935700ac7b03669f834bfb06aba5
ddfa8a1fa86914072eb6e3e55c253856;8ca8da41fe1ebc8d3ca31dc14f5fc56c;4c024327e5c8d3671eaedfaf3fe8a3eb;0;50170;PB;d9cf935700ac7b03669f834bfb06aba5
50f9999b2ee27e222c5513e945e9ea9c;8ca8da41fe1ebc8d3ca31dc14f5fc56c;5bd2a23f64aaf03b5e6a1393acce3981;91;50170;PB;d9cf935700ac7b03669f834bfb06aba5
543378fb36a83810ded2d725f2b6c883;443dec3062d0286986e21dc0631734c9;2ea757a36bec418974190c568636ab3b;0;50320;CE;d9cf935700ac7b03669f834bfb06aba5
52d70570d42ad2926163bf9a538f110c;443dec3062d0286986e21dc0631734c9;a30b368616437a329e474ebf962887b6;91;50320;CE;d9cf935700ac7b03669f834bfb06aba5
523df5a6db0544f3600434b9ffe68367;01eee509ee2f68dc6014898c309e86bf;0966570e2ddc52a1830723d723e1d843;0;50420;MT;d9cf935700ac7b03669f834bfb06aba5
70c549b28626adf8c0d6349053a844af;01eee509ee2f68dc6014898c309e86bf;30984ea331530ecb5f04992fee632d0a;91;50420;MT;d9cf935700ac7b03669f834bfb06aba5
3029352d500acce2c1d5b2c6575c5718;4ae67a7dd7e491f8fb6f9ea0cf25dfdb;e31ba86324c6ad0904c805432640785e;0;50700;SP;d9cf935700ac7b03669f834bfb06aba5
a851bd0d418b13310dd1e5e3ac7318ab;4ae67a7dd7e491f8fb6f9ea0cf25dfdb;3bb875b8afd4279ac8919a108223d504;91;50700;SP;d9cf935700ac7b03669f834bfb06aba5
a5481cd6d7517aa3fc6476dc7d9019ab;6cd9313ed34ef58bad3fdd504355e72c;71cee073640d503a471e64c348ca9959;0;4730;PE;d9cf935700ac7b03669f834bfb06aba5
03ca3c0b0ff4ff69a7aec17953d03e0c;6cd9313ed34ef58bad3fdd504355e72c;bc2b0dc83e00554621bf898039e26dbb;91;4730;PE;d9cf935700ac7b03669f834bfb06aba5
b6b90237b3ebd1e462a5d11dbc5c4dae;329e6581efbc90bd92a1f22c4ba2103d;c0e849d7c105fde00b776a8beb8400a6;0;50975;MT;d9cf935700ac7b03669f834bfb06aba5
151d21647527d1079781ba6ae6571ffd;329e6581efbc90bd92a1f22c4ba2103d;1c33cfb7867c27b3ce736a870922dcf0;91;50975;MT;d9cf935700ac7b03669f834bfb06aba5
debe9dfcc3e4dbea1c509ffab6bf9f0b;2a8a812400df8963b2e2ac0ed01b07b8;52258cd4527ec72e5a92ca406234cdb6;0;50983;BA;d9cf935700ac7b03669f834bfb06aba5
628f16b29939d1b060af49f66ae0f7f8;2a8a812400df8963b2e2ac0ed01b07b8;8197ae67e658d3d7f5a62f08d036a038;91;50983;BA;d9cf935700ac7b03669f834bfb06aba5
7183145a2a3e0ce2b68cd3735186b1d5;3e6260b81898beacda3d16db379ed329;a15df807320e89eac2da9d0236805b69;0;51460;MG;d9cf935700ac7b03669f834bfb06aba5
dbdc69ea6ccbdea0ca2d796e1af24ebf;3e6260b81898beacda3d16db379ed329;d59dc9b06efa81642b27e43041e382af;91;51460;MG;d9cf935700ac7b03669f834bfb06aba5
42ae1544956fbe6e09242e6cd752444c;e0f7a4d0ef9b84b83b693bbf3feb8e6e;c66bd8970ec4f7685b885b3a7cc89ed0;0;51490;MG;d9cf935700ac7b03669f834bfb06aba5
1d89c62ce3c488093c75423ef9eaf9ac;e0f7a4d0ef9b84b83b693bbf3feb8e6e;3d14b79dd6104b4add84aacfa5cd44ef;91;51490;MG;d9cf935700ac7b03669f834bfb06aba5
97888b75aa1e8aaac3923028d4466fea;653ac11ca60b3e021a8c609c7198acfc;9b87f4032b7c20170e51f53006ab21eb;0;77425;RJ;d9cf935700ac7b03669f834bfb06aba5
f3e368d04ec3f765654dda0f3bb27552;b0b79da57b95837f14be95aaa4d54cf8;a9fc46c65209e92d4480750925815add;0;51650;PB;d9cf935700ac7b03669f834bfb06aba5
600c273011dd92cffe8bb70613bd796f;b0b79da57b95837f14be95aaa4d54cf8;5951f3bd52e6b306d79491ef801a3b76;91;51650;PB;d9cf935700ac7b03669f834bfb06aba5
9958517b2a48851d2ada1c76c88cfc56;3dd9424294b0292b6e89ea2bba2e1144;e48bdc4f3a1ca09d16a2d06f98f80044;0;51660;MG;d9cf935700ac7b03669f834bfb06aba5
47b4f1bfdf6d298682e610ad74b37dca;3dd9424294b0292b6e89ea2bba2e1144;d4c763137350a22bdc0a5e0f6094a4e3;91;51660;MG;d9cf935700ac7b03669f834bfb06aba5
6f46dd176364ccec308c2760189a4605;b166b57d195370cd41f80dd29ed523d9;5b39e1c8a185eab8eeba1dee6d126ea5;0;51670;MG;d9cf935700ac7b03669f834bfb06aba5
33b5450d73826812cafc8a866624da7a;b166b57d195370cd41f80dd29ed523d9;a525b3036713086f8762cabf9fa913e3;91;51670;MG;d9cf935700ac7b03669f834bfb06aba5
6eec765ffa292bcccdc000289cefe64c;2952351097998ac1240cb2ab7333a3d2;d906365f8e294d215de5e4bc8c2aab8e;0;51690;PE;d9cf935700ac7b03669f834bfb06aba5
f152516615efd05cf4b4903b03d4a45d;2952351097998ac1240cb2ab7333a3d2;7e3a8306db3a2f8b2a838066edee398f;91;51690;PE;d9cf935700ac7b03669f834bfb06aba5
aab085461de182608ee9f607f3f7d18f;487d4c6a324446b3fa45b30cfcee5337;c86d7715c3eac9971cae0f4ff56534a7;0;51700;PE;d9cf935700ac7b03669f834bfb06aba5
58d123e75dac4f3e9fb6c4d20ca6f517;487d4c6a324446b3fa45b30cfcee5337;bca14a7f2114bd3db4e29e8f8d663319;91;51700;PE;d9cf935700ac7b03669f834bfb06aba5
f657fe6129962ac0a912607080db1d2c;d4dd111a4fd973394238aca5c05bebe3;f531adbdf47b54d17af9bec78d818acf;0;51770;MG;d9cf935700ac7b03669f834bfb06aba5
