CD_MUN_UOR;Cod IBGE
56960;2308005
57590;2308104
57960;2308203
58135;2308302
58155;2308351
58840;2308401
59150;2308500
59340;2308609
60060;2308708
60230;2308906
60680;2309003
60760;2309102
62710;2309201
62840;2309300
63190;2309409
63310;2309458
64010;2309508
64480;2309607
64500;2309706
64540;2309805
64580;2309904
65840;2310209
65960;2310258
66110;2310308
68720;2310605
69000;2310704
69140;2310803
70110;2310852
70520;2310902
72800;2311108
73470;2311207
75257;2311264
75300;2311306
75350;2311405
75370;2311504
75640;2311603
75920;2311702
78650;2311801
81520;2312007
80850;2312205
83180;2312304
84320;2312403
88800;2312700
90500;2312908
90720;2313005
91350;2313104
92620;2313302
92845;2313351
93280;2313401
94220;2313500
95460;2313559
95650;2313609
96040;2313757
96430;2313807
96630;2313906
97280;2314003
98170;2314102
3360;2400109
3500;2400208
5170;2400505
5870;2400703
7170;2400802
7830;2401008
9330;2401107
20270;2401305
11630;2401453
18750;2402006
21240;2402204
22420;2402303
24540;2402600
30000;2403103
66840;2403251
33760;2403608
34800;2403806
37210;2404200
37470;2404309
38180;2404507
43020;2404705
48920;2405603
48940;2405702
49570;2405801
50390;2406106
51720;2406502
52190;2406700
54180;2407104
54300;2407203
56830;2407401
59430;2407807
60600;2408003
61300;2408102
61790;2408201
62300;2408300
66670;2408904
67480;2409308
67550;2409407
68620;2409803
79810;2411205
81720;2411403
82380;2411502
84330;2412005
85760;2412203
85490;2412302
86670;2412500
86940;2412609
87840;2412906
89307;2413359
93340;2414209
94150;2414407
95940;2414506
96280;2414605
4690;2500403
5310;2500601
85052;2500700
8050;2500809
8980;2501005
9300;2501104
9670;2501302
11250;2501500
12260;2501609
13290;2501807
15950;2502409
15980;2502508
16790;2502805
17570;2503001
17670;2503209
18330;2503506
18640;2503605
19000;2503704
19900;2504009
24100;2504306
24330;2504355
26340;2504405
27520;2504801
29650;2505105
33010;2506004
33790;2506103
38500;2506301
42520;2506806
44150;2506905
46240;2507002
46270;2507101
47530;2507309
49650;2507507
50170;2507705
51650;2508208
51840;2508307
54960;2508901
56200;2509107
59850;2509701
67350;2510808
67700;2510907
68290;2511202
69550;2511301
69670;2511400
69810;2511509
71340;2511806
71740;2512002
72100;2512101
74380;2512309
74630;2512408
74890;2512507
75870;2512705
77770;2512903
80510;2513406
80910;2513703
83230;2513901
85840;2514503
88050;2515302
89210;2515500
90610;2516003
90620;2516102
90780;2516201
91020;2516300
91400;2516409
91900;2516508
92750;2516607
92810;2516706
95900;2516904
96030;2517001
3230;2600054
3700;2600104
3770;2600203
3830;2600302
4100;2600401
4240;2600500
4730;2600609
5320;2600708
5550;2600807
6270;2600906
8950;2601102
9250;2601201
12610;2601409
13650;2601508
13680;2601607
13810;2601706
14230;2601904
15050;2602001
15150;2602100
15230;2602209
15920;2602308
16670;2602407
16820;2602605
17270;2602803
17690;2602902
17800;2603009
18240;2603108
19475;2603454
19810;2603504
21330;2603702
21990;2603801
23050;2603900
23170;2604007
23300;2604106
23980;2604205
24575;2604304
24950;2604502
26840;2604601
28170;2604700
29690;2604908
29820;2605004
30210;2605103
31593;2605152
32920;2605202
33770;2605301
34190;2605400
34830;2605608
34890;2605707
36280;2605905
36350;2606002
37020;2606101
37100;2606200
37740;2606408
40120;2606507
40530;2606606
41670;2606804
42270;2607000
43320;2607208
43460;2607307
44710;2607505
45780;2607703
47390;2607901
49540;2608107
50790;2608404
51700;2608503
51690;2608701
51695;2608750
52140;2608800
53300;2608909
54260;2609006
54430;2609105
58630;2609303
