Ranking IDHM 2010,Município,UF,IDHM 2010,IDHM Renda 2010,IDHM Longevidade 2010,IDHM Educação 2010
1 º,SAO CAETANO DO SUL,SP,0.862,0.891,0.887,0.811
2 º,AGUAS DE SAO PEDRO,SP,0.854,0.849,0.89,0.825
3 º,FLORIANOPOLIS,SC,0.847,0.87,0.873,0.8
4 º,BALNEARIO CAMBORIU,SC,0.845,0.854,0.894,0.789
4 º,VITORIA,ES,0.845,0.876,0.855,0.805
6 º,SANTOS,SP,0.84,0.861,0.852,0.807
7 º,NITEROI,RJ,0.837,0.887,0.854,0.773
8 º,JOACABA,SC,0.827,0.823,0.891,0.771
9 º,BRASILIA,DF,0.824,0.863,0.873,0.742
10 º,CURITIBA,PR,0.823,0.85,0.855,0.768
11 º,JUNDIAI,SP,0.822,0.834,0.866,0.768
12 º,VALINHOS,SP,0.819,0.848,0.85,0.763
13 º,VINHEDO,SP,0.817,0.84,0.878,0.739
14 º,SANTO ANDRE,SP,0.815,0.819,0.861,0.769
14 º,ARARAQUARA,SP,0.815,0.788,0.877,0.782
16 º,SANTANA DE PARNAIBA,SP,0.814,0.876,0.849,0.725
17 º,NOVA LIMA,MG,0.813,0.864,0.885,0.704
18 º,ILHA SOLTEIRA,SP,0.812,0.786,0.871,0.782
19 º,AMERICANA,SP,0.811,0.8,0.876,0.76
20 º,BELO HORIZONTE,MG,0.81,0.841,0.856,0.737
21 º,SAO JOSE,SC,0.809,0.799,0.88,0.752
21 º,JOINVILLE,SC,0.809,0.795,0.889,0.749
23 º,MARINGA,PR,0.808,0.806,0.852,0.768
24 º,SAO JOSE DOS CAMPOS,SP,0.807,0.804,0.855,0.764
25 º,BLUMENAU,SC,0.806,0.812,0.894,0.722
25 º,PRESIDENTE PRUDENTE,SP,0.806,0.788,0.858,0.774
25 º,RIO FORTUNA,SC,0.806,0.848,0.85,0.727
28 º,SAO PAULO,SP,0.805,0.843,0.855,0.725
28 º,ASSIS,SP,0.805,0.771,0.865,0.781
28 º,CAMPINAS,SP,0.805,0.829,0.86,0.731
28 º,SAO BERNARDO DO CAMPO,SP,0.805,0.807,0.861,0.752
28 º,PORTO ALEGRE,RS,0.805,0.867,0.857,0.702
28 º,SAO CARLOS,SP,0.805,0.788,0.863,0.766
34 º,RIO CLARO,SP,0.803,0.784,0.862,0.766
34 º,JARAGUA DO SUL,SC,0.803,0.793,0.865,0.755
36 º,RIO DO SUL,SC,0.802,0.793,0.894,0.727
37 º,BAURU,SP,0.801,0.8,0.854,0.752
37 º,SAO MIGUEL DO OESTE,SC,0.801,0.787,0.884,0.739
37 º,PIRASSUNUNGA,SP,0.801,0.789,0.884,0.736
40 º,CONCORDIA,SC,0.8,0.777,0.872,0.756
40 º,VILA VELHA,ES,0.8,0.807,0.864,0.734
40 º,TAUBATE,SP,0.8,0.778,0.883,0.746
40 º,RIBEIRAO PRETO,SP,0.8,0.82,0.844,0.739
40 º,BOTUCATU,SP,0.8,0.79,0.869,0.746
45 º,GOIANIA,GO,0.799,0.824,0.838,0.739
45 º,RIO DE JANEIRO,RJ,0.799,0.84,0.845,0.719
47 º,MARILIA,SP,0.798,0.768,0.854,0.776
47 º,SOROCABA,SP,0.798,0.792,0.843,0.762
47 º,GUARATINGUETA,SP,0.798,0.764,0.886,0.751
50 º,SAO JOAO DA BOA VISTA,SP,0.797,0.776,0.871,0.749
50 º,SAO JOSE DO RIO PRETO,SP,0.797,0.801,0.846,0.748
50 º,FERNANDOPOLIS,SP,0.797,0.767,0.872,0.758
53 º,ITAPEMA,SC,0.796,0.788,0.881,0.727
53 º,TUBARAO,SC,0.796,0.788,0.866,0.74
53 º,CARLOS BARBOSA,RS,0.796,0.835,0.835,0.724
56 º,BRUSQUE,SC,0.795,0.794,0.894,0.707
56 º,IOMERE,SC,0.795,0.754,0.891,0.749
56 º,PAULINIA,SP,0.795,0.8,0.864,0.727
56 º,TREZE TILIAS,SC,0.795,0.838,0.874,0.685
56 º,ITAJAI,SC,0.795,0.778,0.884,0.73
61 º,HOLAMBRA,SP,0.793,0.815,0.878,0.698
62 º,QUATRO PONTES,PR,0.791,0.79,0.838,0.748
62 º,TRES ARROIOS,RS,0.791,0.843,0.851,0.689
62 º,NOVA ODESSA,SP,0.791,0.755,0.861,0.762
62 º,IPIRANGA DO SUL,RS,0.791,0.818,0.866,0.698
62 º,SALTINHO,SP,0.791,0.771,0.857,0.75
67 º,VOTUPORANGA,SP,0.79,0.772,0.857,0.744
67 º,SANTA CRUZ DA CONCEICAO,SP,0.79,0.83,0.876,0.679
67 º,ADAMANTINA,SP,0.79,0.772,0.852,0.75
67 º,CHAPECO,SC,0.79,0.779,0.871,0.727
71 º,CANDIDO RODRIGUES,SP,0.789,0.747,0.863,0.762
71 º,UBERLANDIA,MG,0.789,0.776,0.885,0.716
71 º,BARRETOS,SP,0.789,0.762,0.875,0.738
71 º,LUZERNA,SC,0.789,0.781,0.877,0.718
71 º,LAGOA DOS TRES CANTOS,RS,0.789,0.765,0.852,0.754
76 º,ARACATUBA,SP,0.788,0.782,0.841,0.744
76 º,CRUZEIRO,SP,0.788,0.742,0.871,0.758
76 º,MAIRIPORA,SP,0.788,0.767,0.881,0.723
76 º,BARRA BONITA,SP,0.788,0.762,0.869,0.739
76 º,CRICIUMA,SC,0.788,0.786,0.846,0.737
76 º,INDAIATUBA,SP,0.788,0.791,0.837,0.738
76 º,CACAPAVA,SP,0.788,0.754,0.858,0.755
76 º,FERNANDO DE NORONHA,PE,0.788,0.781,0.839,0.748
76 º,PALMAS,TO,0.788,0.789,0.827,0.749
85 º,ITAJUBA,MG,0.787,0.767,0.884,0.718
85 º,ESPIRITO SANTO DO PINHAL,SP,0.787,0.784,0.872,0.712
87 º,GARIBALDI,RS,0.786,0.825,0.856,0.688
87 º,POMPEIA,SP,0.786,0.75,0.864,0.748
87 º,PORTO UNIAO,SC,0.786,0.752,0.891,0.724
87 º,LINS,SP,0.786,0.762,0.869,0.733
87 º,BARUERI,SP,0.786,0.791,0.866,0.708
92 º,PIRACICABA,SP,0.785,0.797,0.848,0.717
92 º,AMPARO,SP,0.785,0.78,0.871,0.711
92 º,NOVA ARACA,RS,0.785,0.796,0.843,0.722
92 º,CUIABA,MT,0.785,0.8,0.834,0.726
92 º,CATANDUVA,SP,0.785,0.767,0.853,0.74
92 º,CASCA,RS,0.785,0.778,0.847,0.733
92 º,TREMEMBE,SP,0.785,0.769,0.873,0.72
92 º,MONTE APRAZIVEL,SP,0.785,0.781,0.861,0.72
100 º,SANTA FE DO SUL,SP,0.784,0.763,0.84,0.751
100 º,RIBEIRAO PIRES,SP,0.784,0.749,0.847,0.76
100 º,IVOTI,RS,0.784,0.78,0.848,0.729
100 º,JAGUARIUNA,SP,0.784,0.782,0.862,0.715
100 º,SANTA MARIA,RS,0.784,0.795,0.848,0.715
100 º,SALTO VELOSO,SC,0.784,0.778,0.88,0.705
100 º,ARUJA,SP,0.784,0.761,0.866,0.73
100 º,TIMBO,SC,0.784,0.807,0.856,0.697
100 º,CAMPO GRANDE,MS,0.784,0.79,0.844,0.724
100 º,MOGI MIRIM,SP,0.784,0.767,0.879,0.715
110 º,HORIZONTINA,RS,0.783,0.782,0.858,0.716
110 º,PINHALZINHO,SC,0.783,0.758,0.886,0.716
110 º,MOGI DAS CRUZES,SP,0.783,0.762,0.851,0.74
113 º,CASCAVEL,PR,0.782,0.776,0.846,0.728
113 º,CAXIAS DO SUL,RS,0.782,0.812,0.86,0.686
113 º,PATO BRANCO,PR,0.782,0.778,0.845,0.728
113 º,CERQUILHO,SP,0.782,0.758,0.854,0.739
113 º,LAVRAS,MG,0.782,0.757,0.88,0.719
113 º,SAO BENTO DO SUL,SC,0.782,0.763,0.871,0.719
119 º,CAIEIRAS,SP,0.781,0.74,0.861,0.749
119 º,IJUI,RS,0.781,0.786,0.858,0.707
119 º,SANTO AMARO DA IMPERATRIZ,SC,0.781,0.753,0.89,0.71
119 º,BOMBINHAS,SC,0.781,0.753,0.864,0.732
119 º,MARAVILHA,SC,0.781,0.758,0.886,0.708
119 º,AGUAS DA PRATA,SP,0.781,0.75,0.886,0.716
119 º,LACERDOPOLIS,SC,0.781,0.763,0.883,0.708
119 º,SANTA BARBARA D'OESTE,SP,0.781,0.752,0.867,0.731
119 º,ARARAS,SP,0.781,0.763,0.859,0.728
128 º,BEBEDOURO,SP,0.78,0.756,0.853,0.735
128 º,COCAL DO SUL,SC,0.78,0.747,0.859,0.74
128 º,POMERODE,SC,0.78,0.78,0.886,0.687
128 º,FRANCA,SP,0.78,0.749,0.842,0.753
128 º,VISTA ALEGRE DO PRATA,RS,0.78,0.809,0.847,0.692
128 º,NOVA PETROPOLIS,RS,0.78,0.775,0.89,0.688
128 º,BOITUVA,SP,0.78,0.757,0.861,0.728
128 º,BRACO DO TROMBUDO,SC,0.78,0.766,0.883,0.702
128 º,ORLANDIA,SP,0.78,0.765,0.882,0.703
128 º,CORUPA,SC,0.78,0.768,0.873,0.707
128 º,COTIA,SP,0.78,0.789,0.851,0.707
128 º,BIRIGUI,SP,0.78,0.743,0.869,0.734
128 º,SALTO,SP,0.78,0.755,0.837,0.751
141 º,POCOS DE CALDAS,MG,0.779,0.768,0.872,0.706
141 º,ANDRADINA,SP,0.779,0.762,0.885,0.702
141 º,PIRATININGA,SP,0.779,0.762,0.859,0.723
141 º,SEARA,SC,0.779,0.804,0.872,0.674
145 º,BENTO GONCALVES,RS,0.778,0.805,0.842,0.695
145 º,VARGINHA,MG,0.778,0.76,0.875,0.707
145 º,JUIZ DE FORA,MG,0.778,0.784,0.844,0.711
145 º,OURINHOS,SP,0.778,0.753,0.859,0.727
145 º,JAU,SP,0.778,0.768,0.886,0.693
145 º,LONDRINA,PR,0.778,0.789,0.837,0.712
145 º,TIETE,SP,0.778,0.764,0.884,0.698
145 º,JABOTICABAL,SP,0.778,0.778,0.851,0.71
145 º,ITATIBA,SP,0.778,0.788,0.844,0.708
145 º,LAJEADO,RS,0.778,0.796,0.84,0.704
145 º,BRACO DO NORTE,SC,0.778,0.746,0.881,0.716
145 º,NOVA BRESCIA,RS,0.778,0.836,0.847,0.666
157 º,VICTOR GRAEFF,RS,0.777,0.774,0.84,0.722
157 º,JOSE BONIFACIO,SP,0.777,0.752,0.869,0.717
157 º,SELBACH,RS,0.777,0.785,0.841,0.71
157 º,INDAIAL,SC,0.777,0.767,0.873,0.701
157 º,LOUVEIRA,SP,0.777,0.783,0.861,0.697
157 º,MAFRA,SC,0.777,0.738,0.88,0.723
157 º,JACAREI,SP,0.777,0.749,0.837,0.749
157 º,SARANDI,RS,0.777,0.776,0.858,0.705
157 º,LAGOA SANTA,MG,0.777,0.79,0.857,0.693
157 º,PINHEIRO PRETO,SC,0.777,0.762,0.866,0.712
157 º,FARROUPILHA,RS,0.777,0.783,0.861,0.696
168 º,IRACEMAPOLIS,SP,0.776,0.742,0.863,0.729
168 º,ITAU DE MINAS,MG,0.776,0.761,0.862,0.711
168 º,BRAGANCA PAULISTA,SP,0.776,0.772,0.861,0.704
168 º,ERECHIM,RS,0.776,0.782,0.833,0.716
168 º,PASSO FUNDO,RS,0.776,0.787,0.849,0.699
168 º,JALES,SP,0.776,0.75,0.855,0.73
168 º,OSASCO,SP,0.776,0.776,0.84,0.718
168 º,ARACOIABA DA SERRA,SP,0.776,0.751,0.86,0.723
168 º,PIRAPOZINHO,SP,0.776,0.74,0.863,0.733
168 º,DRACENA,SP,0.776,0.752,0.842,0.737
178 º,XANXERE,SC,0.775,0.76,0.861,0.711
178 º,LIMEIRA,SP,0.775,0.761,0.852,0.719
178 º,CERES,GO,0.775,0.753,0.842,0.733
178 º,ITAPIRANGA,SC,0.775,0.766,0.842,0.723
178 º,VICOSA,MG,0.775,0.758,0.883,0.696
178 º,SANTA RITA DO PASSA QUATRO,SP,0.775,0.764,0.887,0.686
178 º,TROMBUDO CENTRAL,SC,0.775,0.76,0.88,0.696
185 º,OURO,SC,0.774,0.774,0.884,0.677
185 º,TREVISO,SC,0.774,0.737,0.882,0.714
185 º,MASSARANDUBA,SC,0.774,0.749,0.867,0.714
185 º,MOGI GUACU,SP,0.774,0.74,0.852,0.736
185 º,SIDEROPOLIS,SC,0.774,0.751,0.88,0.701
185 º,MARAU,RS,0.774,0.773,0.857,0.699
185 º,FRANCISCO BELTRAO,PR,0.774,0.758,0.844,0.726
185 º,CRUZALIA,SP,0.774,0.698,0.853,0.778
185 º,MARECHAL CANDIDO RONDON,PR,0.774,0.782,0.842,0.704
185 º,POUSO ALEGRE,MG,0.774,0.755,0.872,0.704
185 º,SAO JOSE DO RIO PARDO,SP,0.774,0.744,0.868,0.717
185 º,PEDRINHAS PAULISTA,SP,0.774,0.749,0.837,0.739
197 º,PARAI,RS,0.773,0.787,0.866,0.679
197 º,ITU,SP,0.773,0.782,0.854,0.692
197 º,AURIFLAMA,SP,0.773,0.746,0.84,0.738
197 º,ARAGUARI,MG,0.773,0.74,0.871,0.716
197 º,SERRA ALTA,SC,0.773,0.758,0.879,0.694
197 º,SANTANA DA PONTE PENSA,SP,0.773,0.751,0.84,0.733
197 º,RIO DAS OSTRAS,RJ,0.773,0.784,0.854,0.689
197 º,PINDAMONHANGABA,SP,0.773,0.745,0.843,0.736
197 º,OLIMPIA,SP,0.773,0.737,0.867,0.724
197 º,VERANOPOLIS,RS,0.773,0.797,0.838,0.692
197 º,SANTA CRUZ DO SUL,RS,0.773,0.782,0.852,0.693
197 º,MATAO,SP,0.773,0.766,0.847,0.713
197 º,SEBASTIANOPOLIS DO SUL,SP,0.773,0.748,0.835,0.74
210 º,SAO SEBASTIAO,SP,0.772,0.747,0.875,0.703
210 º,ARATIBA,RS,0.772,0.801,0.856,0.67
210 º,UBERABA,MG,0.772,0.772,0.845,0.705
210 º,ARAXA,MG,0.772,0.756,0.858,0.709
210 º,SANTO ANGELO,RS,0.772,0.765,0.863,0.696
210 º,RECIFE,PE,0.772,0.798,0.825,0.698
210 º,SALES OLIVEIRA,SP,0.772,0.738,0.845,0.739
210 º,MONCOES,SP,0.772,0.731,0.814,0.773
210 º,URUSSANGA,SC,0.772,0.756,0.876,0.695
210 º,SANTA SALETE,SP,0.772,0.712,0.864,0.748
220 º,LAJEADO GRANDE,SC,0.771,0.75,0.858,0.712
220 º,MARACAI,SP,0.771,0.711,0.85,0.758
220 º,VOLTA REDONDA,RJ,0.771,0.763,0.833,0.72
220 º,ITA,SC,0.771,0.747,0.879,0.698
220 º,POA,SP,0.771,0.71,0.856,0.754
220 º,IPATINGA,MG,0.771,0.752,0.864,0.705
220 º,TUPA,SP,0.771,0.764,0.852,0.704
227 º,OUROESTE,SP,0.77,0.717,0.866,0.736
227 º,LAGES,SC,0.77,0.755,0.867,0.697
227 º,MONTES CLAROS,MG,0.77,0.707,0.868,0.744
227 º,ARACAJU,SE,0.77,0.784,0.823,0.708
227 º,SANTA ROSA DE VITERBO,SP,0.77,0.746,0.868,0.704
227 º,MACATUBA,SP,0.77,0.763,0.859,0.697
227 º,ARMAZEM,SC,0.77,0.743,0.882,0.698
227 º,ORIENTE,SP,0.77,0.717,0.837,0.761
227 º,TIMOTEO,MG,0.77,0.737,0.836,0.742
227 º,PRESIDENTE CASTELLO BRANCO,SC,0.77,0.813,0.883,0.637
227 º,VARGEM GRANDE PAULISTA,SP,0.77,0.755,0.884,0.683
238 º,TUPI PAULISTA,SP,0.769,0.762,0.835,0.715
238 º,SANTA ROSA,RS,0.769,0.752,0.871,0.693
238 º,TABOAO DA SERRA,SP,0.769,0.742,0.863,0.71
238 º,COSMOPOLIS,SP,0.769,0.746,0.876,0.697
238 º,SAO CARLOS,SC,0.769,0.763,0.867,0.688
238 º,CAMPO LIMPO PAULISTA,SP,0.769,0.733,0.84,0.739
238 º,SCHROEDER,SC,0.769,0.75,0.855,0.71
238 º,GARCA,SP,0.769,0.737,0.849,0.728
238 º,ARROIO DO MEIO,RS,0.769,0.75,0.86,0.706
238 º,PEDREIRA,SP,0.769,0.75,0.864,0.701
238 º,BARBACENA,MG,0.769,0.751,0.881,0.687
249 º,LUCAS DO RIO VERDE,MT,0.768,0.766,0.833,0.71
249 º,TOLEDO,PR,0.768,0.755,0.855,0.702
249 º,NOVA VENEZA,SC,0.768,0.741,0.869,0.703
249 º,NOVA BOA VISTA,RS,0.768,0.764,0.836,0.708
249 º,SAO LUIS,MA,0.768,0.741,0.813,0.752
249 º,RESENDE,RJ,0.768,0.762,0.839,0.709
249 º,SAO VICENTE,SP,0.768,0.738,0.857,0.716
249 º,PALOTINA,PR,0.768,0.76,0.864,0.689
249 º,TRES PASSOS,RS,0.768,0.745,0.858,0.71
249 º,SAO ROQUE,SP,0.768,0.765,0.863,0.687
249 º,IGARAPAVA,SP,0.768,0.809,0.835,0.671
249 º,BILAC,SP,0.768,0.743,0.845,0.722
249 º,MARACAJA,SC,0.768,0.752,0.861,0.699
249 º,MONTE ALTO,SP,0.768,0.746,0.859,0.707
249 º,SAO MARCOS,RS,0.768,0.775,0.855,0.683
249 º,REGENTE FEIJO,SP,0.768,0.735,0.818,0.752
265 º,SERRA NEGRA,SP,0.767,0.764,0.873,0.676
265 º,VOTORANTIM,SP,0.767,0.72,0.838,0.747
265 º,CAPIVARI DE BAIXO,SC,0.767,0.724,0.87,0.716
265 º,ORINDIUVA,SP,0.767,0.719,0.824,0.762
265 º,ESTRELA,RS,0.767,0.776,0.85,0.684
265 º,AVARE,SP,0.767,0.751,0.866,0.695
265 º,DOIS VIZINHOS,PR,0.767,0.747,0.85,0.711
265 º,ENCANTADO,RS,0.767,0.764,0.858,0.687
265 º,NOVO XINGU,RS,0.767,0.749,0.85,0.708
274 º,CEDRAL,SP,0.766,0.749,0.872,0.689
274 º,POLONI,SP,0.766,0.736,0.853,0.717
274 º,MAUA,SP,0.766,0.721,0.852,0.733
274 º,NOVA PRATA,RS,0.766,0.782,0.839,0.686
274 º,PARNAMIRIM,RN,0.766,0.75,0.825,0.726
274 º,SANTIAGO,RS,0.766,0.746,0.882,0.682
274 º,IVATUBA,PR,0.766,0.718,0.837,0.748
274 º,PERITIBA,SC,0.766,0.762,0.882,0.669
274 º,PEREIRA BARRETO,SP,0.766,0.728,0.845,0.732
274 º,CAPIVARI DO SUL,RS,0.766,0.805,0.836,0.668
274 º,ALUMINIO,SP,0.766,0.729,0.841,0.732
274 º,CARAZINHO,RS,0.766,0.756,0.84,0.707
274 º,SAO SIMAO,SP,0.766,0.732,0.852,0.722
274 º,LORENA,SP,0.766,0.736,0.856,0.713
274 º,CATALAO,GO,0.766,0.769,0.819,0.715
289 º,ITUVERAVA,SP,0.765,0.768,0.841,0.694
289 º,GUAPORE,RS,0.765,0.781,0.837,0.685
289 º,ATIBAIA,SP,0.765,0.786,0.851,0.67
289 º,IBIRUBA,RS,0.765,0.786,0.848,0.671
289 º,IMBITUBA,SC,0.765,0.734,0.868,0.703
289 º,SUZANO,SP,0.765,0.708,0.873,0.723
289 º,GASPAR,SC,0.765,0.77,0.889,0.655
289 º,SAO DOMINGOS,SC,0.765,0.769,0.861,0.675
289 º,ESPUMOSO,RS,0.765,0.747,0.884,0.677
289 º,NAO-ME-TOQUE,RS,0.765,0.784,0.847,0.673
289 º,COLINAS,RS,0.765,0.786,0.84,0.678
289 º,PATOS DE MINAS,MG,0.765,0.749,0.855,0.698
289 º,NOVA ERECHIM,SC,0.765,0.767,0.851,0.686
289 º,MARICA,RJ,0.765,0.761,0.85,0.692
289 º,NOVA EUROPA,SP,0.765,0.718,0.869,0.718
304 º,SANTO ANTONIO DO PALMA,RS,0.764,0.787,0.853,0.665
304 º,ARROIO TRINTA,SC,0.764,0.781,0.873,0.653
304 º,GRAMADO,RS,0.764,0.783,0.861,0.662
304 º,RONDINHA,RS,0.764,0.78,0.842,0.678
304 º,LENCOIS PAULISTA,SP,0.764,0.743,0.837,0.717
304 º,OURO BRANCO,MG,0.764,0.753,0.872,0.68
304 º,CERRO LARGO,RS,0.764,0.752,0.849,0.698
304 º,SAO VALENTIM DO SUL,RS,0.764,0.776,0.848,0.677
304 º,VIDEIRA,SC,0.764,0.772,0.857,0.675
304 º,CACHOEIRA PAULISTA,SP,0.764,0.733,0.837,0.728
304 º,IMBE,RS,0.764,0.825,0.847,0.638
304 º,MONTAURI,RS,0.764,0.79,0.852,0.662
304 º,ROSANA,SP,0.764,0.749,0.818,0.728
304 º,MACAE,RJ,0.764,0.792,0.828,0.681
304 º,DIVINOPOLIS,MG,0.764,0.753,0.844,0.702
304 º,PARAISO DO TOCANTINS,TO,0.764,0.759,0.831,0.706
320 º,SAO DOMINGOS DO SUL,RS,0.763,0.78,0.839,0.68
320 º,MEDIANEIRA,PR,0.763,0.762,0.849,0.686
320 º,PRESIDENTE VENCESLAU,SP,0.763,0.749,0.837,0.708
320 º,SAO PEDRO DO BUTIA,RS,0.763,0.76,0.843,0.694
320 º,GUARARAPES,SP,0.763,0.727,0.84,0.726
320 º,NATAL,RN,0.763,0.768,0.835,0.694
320 º,JOAO PESSOA,PB,0.763,0.77,0.832,0.693
320 º,PARANAVAI,PR,0.763,0.75,0.844,0.703
320 º,ITAPETININGA,SP,0.763,0.728,0.864,0.705
320 º,GABRIEL MONTEIRO,SP,0.763,0.721,0.809,0.762
320 º,PONTA GROSSA,PR,0.763,0.755,0.837,0.703
320 º,BARRA FUNDA,RS,0.763,0.731,0.856,0.71
320 º,FAGUNDES VARELA,RS,0.763,0.773,0.852,0.674
320 º,BURITAMA,SP,0.763,0.736,0.839,0.72
320 º,GUARULHOS,SP,0.763,0.746,0.831,0.717
335 º,PARAGUACU PAULISTA,SP,0.762,0.717,0.836,0.739
335 º,SUMARE,SP,0.762,0.744,0.845,0.705
335 º,DAVID CANABARRO,RS,0.762,0.74,0.87,0.688
335 º,SALDANHA MARINHO,RS,0.762,0.745,0.841,0.706
335 º,ITUPEVA,SP,0.762,0.75,0.844,0.699
335 º,SERRANOPOLIS DO IGUACU,PR,0.762,0.778,0.859,0.662
335 º,BOA VISTA DO BURICA,RS,0.762,0.761,0.834,0.697
335 º,MIRASSOL,SP,0.762,0.748,0.846,0.698
335 º,OSVALDO CRUZ,SP,0.762,0.74,0.837,0.713
335 º,ITAPIRA,SP,0.762,0.75,0.852,0.692
335 º,TORRES,RS,0.762,0.75,0.862,0.685
335 º,SAO JOAQUIM DA BARRA,SP,0.762,0.74,0.847,0.706
335 º,MOCOCA,SP,0.762,0.756,0.827,0.709
335 º,SANTA CRUZ DO RIO PARDO,SP,0.762,0.744,0.867,0.686
335 º,SAO FRANCISCO DO SUL,SC,0.762,0.74,0.856,0.699
350 º,NOVA PADUA,RS,0.761,0.762,0.852,0.678
350 º,INDIANA,SP,0.761,0.714,0.843,0.733
350 º,ALFENAS,MG,0.761,0.737,0.841,0.712
350 º,PANAMBI,RS,0.761,0.752,0.848,0.691
350 º,ITAPOA,SC,0.761,0.739,0.874,0.682
350 º,ENTRE RIOS DO OESTE,PR,0.761,0.778,0.826,0.686
350 º,UMUARAMA,PR,0.761,0.755,0.836,0.698
350 º,VILA MARIA,RS,0.761,0.791,0.839,0.664
350 º,SANTA RITA D'OESTE,SP,0.761,0.711,0.839,0.74
350 º,SAO JOAO DO OESTE,SC,0.761,0.756,0.873,0.668
350 º,TAIO,SC,0.761,0.749,0.879,0.67
350 º,BATATAIS,SP,0.761,0.766,0.84,0.685
350 º,CONSELHEIRO LAFAIETE,MG,0.761,0.736,0.86,0.697
350 º,IGUABA GRANDE,RJ,0.761,0.744,0.841,0.704
350 º,ZORTEA,SC,0.761,0.752,0.885,0.661
350 º,SERTAOZINHO,SP,0.761,0.768,0.855,0.672
366 º,ITAARA,RS,0.76,0.761,0.841,0.687
366 º,SETE LAGOAS,MG,0.76,0.742,0.84,0.705
366 º,GOIANDIRA,GO,0.76,0.711,0.849,0.727
366 º,CAMPINAS DO SUL,RS,0.76,0.753,0.842,0.691
366 º,ARARANGUA,SC,0.76,0.745,0.853,0.691
366 º,SANTA ADELIA,SP,0.76,0.75,0.835,0.702
366 º,TAPEJARA,RS,0.76,0.763,0.837,0.688
366 º,SERAFINA CORREA,RS,0.76,0.755,0.843,0.69
366 º,TIJUCAS,SC,0.76,0.747,0.873,0.672
366 º,JANDIRA,SP,0.76,0.738,0.841,0.706
366 º,RIO NEGRO,PR,0.76,0.721,0.863,0.705
366 º,TAIUVA,SP,0.76,0.732,0.835,0.718
366 º,MODELO,SC,0.76,0.751,0.886,0.659
366 º,DESCALVADO,SP,0.76,0.74,0.865,0.687
366 º,FREDERICO WESTPHALEN,RS,0.76,0.754,0.846,0.688
366 º,PORTO BELO,SC,0.76,0.75,0.886,0.66
366 º,ESTRELA D'OESTE,SP,0.76,0.712,0.873,0.705
383 º,VARZEA PAULISTA,SP,0.759,0.72,0.863,0.705
383 º,PENAPOLIS,SP,0.759,0.748,0.859,0.68
383 º,IPORA DO OESTE,SC,0.759,0.743,0.847,0.695
383 º,MONTE ALEGRE DO SUL,SP,0.759,0.752,0.858,0.678
383 º,SANTO ANTONIO DO PLANALTO,RS,0.759,0.701,0.885,0.705
383 º,NOVA CANDELARIA,RS,0.759,0.794,0.856,0.643
383 º,SALVADOR,BA,0.759,0.772,0.835,0.679
383 º,CORNELIO PROCOPIO,PR,0.759,0.746,0.848,0.692
383 º,SAO LOURENCO,MG,0.759,0.746,0.871,0.673
383 º,PRESIDENTE GETULIO,SC,0.759,0.764,0.874,0.654
383 º,TAQUARAL,SP,0.759,0.742,0.823,0.716
383 º,CARAGUATATUBA,SP,0.759,0.735,0.845,0.705
383 º,RIO DAS PEDRAS,SP,0.759,0.741,0.842,0.7
383 º,TRES DE MAIO,RS,0.759,0.756,0.834,0.694
383 º,INUBIA PAULISTA,SP,0.759,0.688,0.849,0.75
383 º,GURUPI,TO,0.759,0.736,0.843,0.706
383 º,RUBINEIA,SP,0.759,0.713,0.844,0.726
400 º,HERVAL D'OESTE,SC,0.758,0.74,0.859,0.684
400 º,PICADA CAFE,RS,0.758,0.738,0.842,0.701
400 º,SAO JOSE DOS PINHAIS,PR,0.758,0.749,0.859,0.678
400 º,GUABIJU,RS,0.758,0.831,0.857,0.612
400 º,ALVARES MACHADO,SP,0.758,0.712,0.834,0.732
400 º,CORDEIROPOLIS,SP,0.758,0.754,0.858,0.674
400 º,FERNANDO PRESTES,SP,0.758,0.746,0.859,0.68
400 º,IGUARACU,PR,0.758,0.714,0.833,0.732
400 º,NOVA MUTUM,MT,0.758,0.773,0.837,0.673
400 º,JOAO MONLEVADE,MG,0.758,0.724,0.849,0.708
400 º,NOVA LONDRINA,PR,0.758,0.735,0.856,0.691
400 º,SAO JOAO DEL REI,MG,0.758,0.733,0.86,0.69
400 º,PIRAJU,SP,0.758,0.74,0.843,0.699
400 º,ITAUNA,MG,0.758,0.749,0.85,0.685
400 º,MARIPA,PR,0.758,0.736,0.866,0.684
400 º,PORTO FELIZ,SP,0.758,0.737,0.836,0.706
400 º,COLORADO,RS,0.758,0.775,0.835,0.674
400 º,ANTONIO PRADO,RS,0.758,0.777,0.835,0.671
400 º,FAXINAL DOS GUEDES,SC,0.758,0.746,0.863,0.676
400 º,PIRATUBA,SC,0.758,0.736,0.829,0.714
420 º,GRAVATAL,SC,0.757,0.726,0.877,0.681
420 º,SANTA ROSA DE LIMA,SC,0.757,0.726,0.843,0.71
420 º,PRESIDENTE BERNARDES,SP,0.757,0.718,0.839,0.719
420 º,SANTO ANTONIO DO ARACANGUA,SP,0.757,0.71,0.84,0.728
420 º,CANOINHAS,SC,0.757,0.717,0.874,0.692
420 º,DIADEMA,SP,0.757,0.717,0.844,0.716
420 º,VANINI,RS,0.757,0.736,0.836,0.704
420 º,AGUAS DE SANTA BARBARA,SP,0.757,0.744,0.84,0.695
