CODIGO;FUNCAO;GFM
13089;SUPER REGIONAL UT;3
13090;SUPER REGIONAL UT;3
13091;SUPER REGIONAL UT;4
13092;SUPER REGIONAL UT;4
13093;SUPER REGIONAL UT;3
13094;SUPER REGIONAL UT;5
14000;GER NUCLEO UT;13
14010;ASSESSOR I UT;16
14011;ASSESSOR I UT;16
15000;GER GERAL CR;4
15001;GER GERAL CR;4
15002;GER GERAL CR;4
15010;GER AREA CR;9
15011;GER AREA CR;9
15012;GER AREA CR;9
15013;GER AREA CR;9
15020;GER SETOR CR;15
15021;GER SETOR CR;16
15030;GER GRUPO CR;17
15031;GER MODULO CR;18
15040;ANALISTA TEC CR;18
15050;ASSIST OP PLENO CR;19
15051;ATENDENTE CR;20
16000;GER AUDITORIA;4
16001;GER AUDITORIA;4
16002;GER AUDITORIA;4
16010;GER GERAL UA;4
16013;GER GERAL UA;4
16015;GER GERAL UA;4
16016;GER GERAL UA;4
16017;GER GERAL UA;4
16018;GER GERAL UA;4
16020;GER GERAL UA;6
16023;GER GERAL UA;6
16025;GER GERAL UA;6
16026;GER GERAL UA;6
16027;GER GERAL UA;4
16030;GER GERAL UA;6
16033;GER GERAL UA;6
16034;GER GERAL UA;6
16035;GER GERAL UA;6
16036;GER GERAL UA;6
16037;GER GERAL UA;4
16038;GER GERAL UA;6
16040;GER GERAL UA;6
16041;GER GERAL UA;6
16043;GER GERAL UA;6
16044;GER GERAL UA;6
16045;GER GERAL UA;6
16048;GER GERAL UA;6
16050;GER GERAL UA;8
16051;GER GERAL UA;8
16052;GER GERAL UA;8
16054;GER GERAL UA;8
16055;GER GERAL UA;8
16057;GER GERAL UA;8
16058;GER GERAL UA;8
16059;GER GERAL UA;8
16060;GER GERAL UA;8
16062;GER GERAL UA;8
16063;GER GERAL UA;8
16065;GER GERAL UA;9
16066;GER GERAL UA;8
16068;GER GERAL UA;9
16069;GER GERAL UA;8
16071;GER GERAL UA;10
16072;GER GERAL UA;8
16090;GER GERAL UJA;4
16091;GER GERAL UJA;4
16092;GER GERAL UJA;6
16093;GER GERAL UJA;6
16094;GER GERAL UJA;6
16095;GER GERAL UJA;8
16096;GER GERAL UJA;9
16097;GER GERAL UJA;9
16098;GER GERAL UJA;9
16099;GER GERAL UJA;9
16100;GER GERAL UJA;11
16101;GER GERAL UJA;11
16120;CHEFE SESMT UA;8
16121;CHEFE SESMT UA;9
16122;CHEFE SESMT UA;9
16123;CHEFE SESMT UA;9
16124;CHEFE SESMT UA;10
16125;CHEFE SESMT UA;11
16126;CHEFE SESMT UA;12
16130;COORDENAD AUDITORIA;8
16131;COORDENAD AUDITORIA;8
16144;GER AREA UA;9
16145;GER AREA UA;9
16148;GER AREA UA;9
16151;GER AREA UA;9
16153;GER AREA UA;9
16154;GER AREA UA;9
16157;GER AREA UA;9
